isbn13,authors,original_publication_year,title,language_code,average_rating,cover_type,pages
9780671723220.0,Nicholas Pileggi,1985.0,Wiseguy,en-US,4.14,0,558
9780553803730.0,Isaac Asimov,1953.0,Second Foundation (Foundation #3),eng,4.23,1,1262
9780061161640.0,Terry Pratchett,2007.0,Making Money (Discworld   #36; Moist Von Lipwig   #2),en-US,4.23,0,864
9780446613360.0,James Patterson   Maxine Paetro,2005.0,4th of July (Women's Murder Club   #4),eng,4.04,0,1081
9780345543850.0,Tess Gerritsen,2014.0,Die Again (Rizzoli & Isles   #11),eng,4.16,0,767
9780553418840.0,Michel Faber,2014.0,The Book of Strange New Things,eng,3.66,0,1142
9780374280600.0,Héctor Tobar,2014.0,Deep Down Dark: The Untold Stories of 33 Men Buried in a Chilean Mine   and the Miracle That Set Them Free,eng,3.9,1,1025
9780375814240.0,Roald Dahl,1977.0,The Wonderful Story of Henry Sugar and Six More,eng,4.15,0,507
9780676979790.0,Oliver Sacks,2007.0,Musicophilia: Tales of Music and the Brain,eng,3.88,1,1401
9780345376050.0,Anne Rice,1979.0,The Feast of All Saints,en-US,3.83,0,1259
9780547569660.0,Scott Jurek   Steve Friedman,2012.0,Eat and Run: My Unlikely Journey to Ultramarathon Greatness,en-US,3.95,0,1326
9780385524940.0,Andrew Davidson,2008.0,The Gargoyle,eng,3.96,1,1336
9780061129740.0,Erich Fromm   Peter D. Kramer   Rainer Funk,1956.0,The Art of Loving,eng,4.01,1,944
9780307738620.0,Jonathan Stroud   Simon  Jones,2010.0,The Ring of Solomon (Bartimaeus   #0.5),eng,4.19,0,1297
9781455581160.0,Sandra Brown,2015.0,Friction,en-CA,3.93,1,745
9780060933170.0,Clive Barker,1989.0,The Great and Secret Show (Book of the Art #1),eng,4.05,0,1065
9780765348810.0,Steven Erikson,2001.0,Memories of Ice (The Malazan Book of the Fallen   #3),eng,4.39,1,648
9781849013760.0,Lara Adrian,2012.0,Darker After Midnight (Midnight Breed   #10),eng,4.37,0,1399
9788370540910.0,Andrzej Sapkowski,1995.0,Czas pogardy (Saga o Wiedźminie   #4),pol,4.32,1,702
9780755358790.0,Maggie O'Farrell,2013.0,Instructions for a Heatwave,en-GB,3.62,0,710
9780786915740.0,Margaret Weis   Tracy Hickman,1984.0,Dragons of Autumn Twilight  (Dragonlance: Chronicles   #1),en-US,4.03,0,1460
9780875421190.0,Scott Cunningham,1988.0,Wicca: A Guide for the Solitary Practitioner,en-US,4.01,0,1238
